Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7505,223,false,0,8,0,0,0,0,0,0,0,0
7506,224,false,0,8,0,0,0,0,0,0,0,0
7507,225,false,0,8,0,0,0,0,0,0,0,0
7508,226,false,0,8,0,0,0,0,0,0,0,0
7508,227,false,0,8,0,0,0,0,0,0,0,0
7510,228,false,0,8,0,0,0,0,0,0,0,0
7510,229,false,0,8,0,0,0,0,0,0,0,0
7512,22A,false,0,8,0,0,0,0,0,0,0,0
7512,22B,false,0,8,0,0,0,0,0,0,0,0
7513,80,false,0,8,C7,10,0,0,60,1,34,37
7513,81,false,0,8,C7,10,0,0,60,1,34,52
7513,83,false,0,8,C7,10,0,0,60,1,34,98
7514,89,false,0,8,C7,10,0,0,60,1,34,5D
7514,86,false,0,8,C7,10,0,0,60,1,34,74
7514,8A,false,0,8,C7,10,0,0,60,1,34,F2
7514,87,false,0,8,C7,10,0,0,60,1,34,11
7515,8B,false,0,8,C7,10,0,0,60,1,34,97
7515,88,false,0,8,C7,10,0,0,60,1,34,38
7515,84,false,0,8,C7,10,0,0,60,1,34,BE
7515,82,false,0,8,C7,10,0,0,60,1,34,FD
7516,85,false,0,8,C7,10,0,0,60,1,34,DB
7516,110,false,0,8,11,10,33,0,0,0,0,0
7516,120,false,0,8,C5,E,C5,E,C5,E,10,36
7516,130,false,0,8,C5,E,C3,E,C4,E,10,C6
7516,140,false,0,8,C5,E,C4,E,0,40,10,34
7517,111,false,0,8,11,10,33,0,0,0,0,0
7517,150,false,0,8,0,40,0,40,0,40,10,DA
7517,160,false,0,8,0,40,0,40,0,40,10,F8
7517,170,false,0,8,0,40,0,0,0,0,10,98
7518,112,false,0,8,11,10,33,0,0,0,0,0
7518,180,false,0,8,34,35,34,5F,0,40,0,C6
7518,1E0,false,0,8,14,3B,0,0,0,0,10,A
7518,113,false,0,8,11,10,33,0,0,0,0,0
7519,181,false,0,8,34,34,34,5F,0,40,0,E5
7519,114,false,0,8,11,10,33,0,0,0,0,0
7520,121,false,0,8,C2,E,C1,E,C0,E,10,E1
7520,131,false,0,8,BF,E,BF,E,C1,E,10,38
7520,141,false,0,8,C0,E,C0,E,0,40,10,D0
7520,151,false,0,8,0,40,0,40,0,40,10,BF
7521,115,false,0,8,11,10,33,0,0,0,0,0
7521,161,false,0,8,0,40,0,40,0,40,10,9D
7521,171,false,0,8,0,40,0,0,0,0,10,FD
7521,182,false,0,8,34,34,34,5F,0,40,0,4A
7522,1E1,false,0,8,F,3B,0,0,0,0,10,E3
7522,116,false,0,8,11,10,33,0,0,0,0,0
7522,117,false,0,8,11,10,33,0,0,0,0,0
7523,122,false,0,8,C2,E,C1,E,C1,E,10,C1
7523,132,false,0,8,C1,E,C2,E,C1,E,10,86
7523,142,false,0,8,C1,E,C1,E,0,40,10,48
7523,152,false,0,8,0,40,0,40,0,40,10,10
7524,162,false,0,8,0,40,0,40,0,40,10,32
7524,118,false,0,8,11,10,33,0,0,0,0,0
7524,172,false,0,8,0,40,0,0,0,0,10,52
7524,183,false,0,8,33,33,33,5F,0,40,0,65
7525,1E2,false,0,8,1E,3B,0,0,0,0,10,A8
7525,119,false,0,8,11,10,33,0,0,0,0,0
7525,11A,false,0,8,11,10,33,0,0,0,0,0
7526,123,false,0,8,BF,E,C0,E,BF,E,10,61
